key,en,zh-Hans,zh-Hant,ar,de,es,fr,id,it,ja,ko,nl,pl,pt,ru,th,tr,vi
msg.clear_search,Clear search,清除搜索,清除搜尋,مسح البحث,Suche löschen,Borrar búsqueda,Effacer la recherche,Hapus pencarian,Cancella ricerca,検索をクリア,검색 지우기,Zoekopdracht wissen,Wyczyść wyszukiwanie,Limpar pesquisa,Очистить поиск,ล้างการค้นหา,Aramayı temizle,Xóa tìm kiếm
msg.confirm_cancel_subscription,Are you sure you want to cancel your subscription?,您确定要取消订阅吗？,你確定要取消訂閱嗎？,هل أنت متأكد أنك تريد إلغاء اشتراكك؟,"Sind Sie sicher, dass Sie Ihr Abonnement kündigen möchten?",¿Estás seguro de que quieres cancelar tu suscripción?,Êtes-vous sûr de vouloir annuler votre abonnement ?,Apakah Anda yakin ingin membatalkan langganan Anda?,Sei sicuro di voler cancellare il tuo abbonamento?,サブスクリプションをキャンセルしてもよろしいですか？,구독을 취소하시겠습니까?,Weet je zeker dat je je abonnement wilt annuleren?,Czy na pewno chcesz anulować swoją subskrypcję?,Tem certeza de que deseja cancelar sua assinatura?,"Вы уверены, что хотите отменить подписку?",คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการสมัครสมาชิก?,Aboneliğinizi iptal etmek istediğinizden emin misiniz?,Bạn có chắc chắn muốn hủy đăng ký không?
msg.confirm_clear_words,Are you sure you want to remove all saved words?,确定要移除所有已收藏的单词吗？,確定要清除所有已儲存的單字嗎？,هل أنت متأكد من إزالة جميع الكلمات المحفوظة؟,"Bist du sicher, dass du alle gespeicherten Wörter entfernen möchtest?",¿Estás seguro de que quieres eliminar todas las palabras guardadas?,Êtes-vous sûr de vouloir supprimer tous les mots enregistrés ?,Apakah Anda yakin ingin menghapus semua kata yang disimpan?,Sei sicuro di voler rimuovere tutte le parole salvate?,保存した単語をすべて削除してもよろしいですか？,저장된 모든 단어를 삭제하시겠습니까?,Weet je zeker dat je alle opgeslagen woorden wilt verwijderen?,Czy na pewno chcesz usunąć wszystkie zapisane słowa?,Tem certeza de que deseja remover todas as palavras salvas?,"Вы уверены, что хотите удалить все сохраненные слова?",คุณแน่ใจหรือไม่ว่าต้องการลบคำศัพท์ที่บันทึกไว้ทั้งหมด?,Tüm kaydedilmiş kelimeleri kaldırmak istediğinize emin misiniz?,Bạn có chắc muốn xóa tất cả từ đã lưu?
msg.confirm_delete_all_dictionaries,Delete all offline dictionaries? You will need internet to look up words.,删除所有离线词典？您将需要网络来查词。,刪除所有離線詞典？您將需要網絡來查詞。,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,すべてのオフライン辞書を削除しますか？,모든 오프라인 사전을 삭제하시겠습니까?,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.,Delete all offline dictionaries? You will need internet to look up words.
msg.confirm_delete_book,Remove {title}? Your reading progress will be lost.,删除{title}？您的阅读进度将丢失。,刪除{title}？您的閱讀進度將遺失。,إزالة {title}؟ سيتم فقدان تقدم قراءتك.,{title} entfernen? Ihr Lesefortschritt geht verloren.,¿Eliminar {title}? Se perderá tu progreso de lectura.,Supprimer {title} ? Votre progression de lecture sera perdue.,Hapus {title}? Progres membaca Anda akan hilang.,Rimuovere {title}? I tuoi progressi di lettura andranno persi.,{title}を削除しますか？読書の進捗が失われます。,{title}을(를) 제거할까요? 읽기 진행 상황이 손실됩니다.,{title} verwijderen? Uw leesvoortgang gaat verloren.,Usunąć {title}? Twoje postępy w czytaniu zostaną utracone.,Remover {title}? O seu progresso de leitura será perdido.,Удалить {title}? Ваш прогресс чтения будет потерян.,นำ{title}ออก? ความคืบหน้าการอ่านของคุณจะหายไป,{title} kaldırılsın mı? Okuma ilerlemeniz kaybolacak.,Xóa {title}? Tiến độ đọc của bạn sẽ bị mất.
msg.confirm_delete_dictionary,Delete offline {lang} dictionary? You will need internet to look up words.,删除离线{lang}词典？您将需要网络来查词。,刪除離線{lang}詞典？您將需要網絡來查詞。,حذف قاموس {lang} دون اتصال؟ ستحتاج إلى الإنترنت للبحث عن الكلمات.,"Offline-Wörterbuch {lang} löschen? Sie benötigen Internet, um Wörter nachzuschlagen.",¿Eliminar diccionario de {lang} sin conexión? Necesitará internet para buscar palabras.,Supprimer le dictionnaire {lang} hors ligne ? Vous aurez besoin d internet pour chercher des mots.,Hapus kamus {lang} luring? Anda akan memerlukan internet untuk mencari kata.,Eliminare il dizionario {lang} offline? Avrai bisogno di internet per cercare parole.,オフライン{lang}辞書を削除しますか？単語を検索するにはインターネットが必要になります。,오프라인 {lang} 사전을 삭제하시겠습니까? 단어를 검색하려면 인터넷이 필요합니다.,Offline {lang}-woordenboek verwijderen? U hebt internet nodig om woorden op te zoeken.,Usunąć słownik {lang} offline? Będziesz potrzebować internetu do wyszukiwania słów.,Eliminar dicionário de {lang} offline? Precisará de internet para procurar palavras.,Удалить офлайн-словарь {lang}? Вам понадобится интернет для поиска слов.,ลบพจนานุกรม{lang}ออฟไลน์หรือไม่? คุณจะต้องใช้อินเทอร์เน็ตเพื่อค้นหาคำศัพท์,{lang} çevrimdışı sözlüğü silinsin mi? Kelime aramak için internete ihtiyacınız olacak.,Xóa từ điển {lang} ngoại tuyến? Bạn sẽ cần internet để tra từ.
msg.confirm_delete_note,Are you sure you want to delete this note?,确定要删除此笔记吗？,確定要刪除此筆記嗎？,هل أنت متأكد من حذف هذه الملاحظة؟,Möchtest du diese Notiz wirklich löschen?,¿Estás seguro de eliminar esta nota?,Voulez-vous vraiment supprimer cette note ?,Apakah Anda yakin ingin menghapus catatan ini?,Sei sicuro di voler eliminare questa nota?,このノートを削除してもよろしいですか？,이 노트를 삭제하시겠습니까?,Weet je zeker dat je deze notitie wilt verwijderen?,Czy na pewno chcesz usunąć tę notatkę?,Tem certeza que deseja excluir esta nota?,"Вы уверены, что хотите удалить эту заметку?",คุณแน่ใจหรือว่าต้องการลบบันทึกนี้,Bu notu silmek istediğinizden emin misiniz?,Bạn có chắc muốn xóa ghi chú này không?
msg.confirm_delete_playlist,Delete {title}? This cannot be undone.,删除{title}？此操作无法撤销。,刪除{title}？此操作無法復原。,حذف {title}؟ لا يمكن التراجع عن هذا.,{title} löschen? Das kann nicht rückgängig gemacht werden.,¿Eliminar {title}? Esta acción no se puede deshacer.,Supprimer {title} ? Cette action est irréversible.,Hapus {title}? Tindakan ini tidak dapat dibatalkan.,Eliminare {title}? Questa azione non può essere annullata.,{title}を削除しますか？この操作は元に戻せません。,{title}을(를) 삭제할까요? 이 작업은 취소할 수 없습니다.,{title} verwijderen? Dit kan niet ongedaan worden gemaakt.,Usunąć {title}? Tej operacji nie można cofnąć.,Excluir {title}? Esta ação não pode ser desfeita.,Удалить {title}? Это действие нельзя отменить.,ลบ {title} หรือไม่? การดำเนินการนี้ไม่สามารถยกเลิกได้,{title} silinsin mi? Bu işlem geri alınamaz.,Xóa {title}? Hành động này không thể hoàn tác.
msg.confirm_remove_video,Remove this video from the playlist?,从播放列表中移除这个视频？,從播放清單中移除這個影片？,هل تريد إزالة هذا الفيديو من قائمة التشغيل؟,Dieses Video aus der Wiedergabeliste entfernen?,¿Eliminar este video de la lista de reproducción?,Retirer cette vidéo de la liste de lecture ?,Hapus video ini dari daftar putar?,Rimuovere questo video dalla playlist?,この動画をプレイリストから削除しますか？,이 동영상을 재생 목록에서 제거할까요?,Deze video uit de afspeellijst verwijderen?,Usunąć ten film z listy odtwarzania?,Remover este vídeo da lista de reprodução?,Удалить это видео из плейлиста?,ลบวิดีโอนี้ออกจากเพลย์ลิสต์หรือไม่,Bu video çalma listesinden kaldırılsın mı?,Xóa video này khỏi danh sách phát?
msg.confirm_reset_not_interested,Reset all channels marked not interested? This cannot be undone.,重置所有标记为“不感兴趣”的频道？此操作无法撤销。,重設所有標記為「不感興趣」的頻道？此操作無法復原。,"إعادة تعيين جميع القنوات التي تم وضع علامة ""غير مهتم"" عليها؟ لا يمكن التراجع عن هذا الإجراء.",Alle als „nicht interessiert“ markierten Kanäle zurücksetzen? Dies kann nicht rückgängig gemacht werden.,¿Restablecer todos los canales marcados como no interesados? Esta acción no se puede deshacer.,Réinitialiser toutes les chaînes marquées comme « pas intéressé » ? Cette action est irréversible.,Atur ulang semua saluran yang ditandai tidak tertarik? Tindakan ini tidak dapat dibatalkan.,Reimpostare tutti i canali contrassegnati come non interessanti? Questa azione non può essere annullata.,「興味なし」とマークしたすべてのチャンネルをリセットしますか？この操作は取り消せません。,"""관심 없음""으로 표시한 모든 채널을 재설정하시겠습니까? 이 작업은 되돌릴 수 없습니다.",Alle kanalen die als niet geïnteresseerd zijn gemarkeerd opnieuw instellen? Deze actie kan niet ongedaan worden gemaakt.,Zresetować wszystkie kanały oznaczone jako „nie interesuje mnie”? Tej czynności nie można cofnąć.,Redefinir todos os canais marcados como não interessados? Esta ação não pode ser desfeita.,"Сбросить все каналы, отмеченные как «не интересует»? Это действие нельзя отменить.",รีเซ็ตช่องทั้งหมดที่ทำเครื่องหมายว่าไม่สนใจหรือไม่ การดำเนินการนี้ไม่สามารถยกเลิกได้,İlgilenmiyorum olarak işaretlenen tüm kanallar sıfırlansın mı? Bu işlem geri alınamaz.,Đặt lại tất cả kênh được đánh dấu là không quan tâm? Hành động này không thể hoàn tác.
msg.confirm_unsubscribe_all,Unsubscribe from all subscribed channels? This cannot be undone.,取消订阅所有已订阅的频道？此操作无法撤销。,取消訂閱所有已訂閱的頻道？此操作無法復原。,إلغاء الاشتراك في جميع القنوات المشترك بها؟ لا يمكن التراجع عن هذا الإجراء.,Alle abonnierten Kanäle abbestellen? Dies kann nicht rückgängig gemacht werden.,¿Cancelar la suscripción a todos los canales suscritos? Esta acción no se puede deshacer.,Se désabonner de toutes les chaînes abonnées ? Cette action est irréversible.,Berhenti berlangganan dari semua saluran yang diikuti? Tindakan ini tidak dapat dibatalkan.,Annullare l'iscrizione a tutti i canali a cui sei iscritto? Questa azione non può essere annullata.,登録中のすべてのチャンネルの登録を解除しますか？この操作は取り消せません。,구독 중인 모든 채널의 구독을 취소하시겠습니까? 이 작업은 되돌릴 수 없습니다.,Alle geabonneerde kanalen opzeggen? Deze actie kan niet ongedaan worden gemaakt.,Anulować subskrypcję wszystkich subskrybowanych kanałów? Tej czynności nie można cofnąć.,Cancelar a inscrição em todos os canais inscritos? Esta ação não pode ser desfeita.,"Отписаться от всех каналов, на которые вы подписаны? Это действие нельзя отменить.",ยกเลิกการติดตามช่องทั้งหมดที่ติดตามอยู่หรือไม่ การดำเนินการนี้ไม่สามารถยกเลิกได้,Abone olunan tüm kanalların aboneliğinden çıkılsın mı? Bu işlem geri alınamaz.,Hủy đăng ký tất cả kênh đã đăng ký? Hành động này không thể hoàn tác.
msg.contact_support,"If you have encountered issues, please contact support.",如果您遇到问题，请联系支持。,如果您遇到問題，請聯繫支持。,إذا واجهت مشاكل، يرجى الاتصال بالدعم.,"Wenn Sie auf Probleme gestoßen sind, wenden Sie sich bitte an den Support.","Si ha encontrado problemas, por favor contacte con soporte.","Si vous avez rencontré des problèmes, veuillez contacter le support.","Jika Anda mengalami masalah, silakan hubungi dukungan.","Se hai riscontrato problemi, contatta l'assistenza.",問題が発生した場合は、サポートにお問い合わせください。,문제가 발생한 경우 지원팀에 문의하세요.,"Als u problemen bent tegengekomen, neem dan contact op met de ondersteuning.","Jeśli napotkałeś problemy, skontaktuj się z pomocą techniczną.","Se encontrou problemas, entre em contacto com o suporte.","Если вы столкнулись с проблемами, пожалуйста, свяжитесь со службой поддержки.",หากคุณพบปัญหา โปรดติดต่อฝ่ายสนับสนุน,"Sorunlarla karşılaştıysanız, lütfen destekle iletişime geçin.","Nếu bạn gặp sự cố, vui lòng liên hệ bộ phận hỗ trợ."
msg.contact_support_email,Contact: {email},联系我们：{email},聯絡我們：{email},اتصل بنا: {email},Kontakt: {email},Contacto: {email},Contact : {email},Hubungi kami: {email},Contatti: {email},お問い合わせ：{email},문의: {email},Contact: {email},Kontakt: {email},Contato: {email},Контакт: {email},ติดต่อ: {email},İletişim: {email},Liên hệ: {email}
msg.contact_support_if_delayed,"If your subscription doesn't appear within a few minutes, please contact support.",如果您的订阅在几分钟内未出现，请联系客服。,如果您的訂閱在幾分鐘內未生效，請聯絡客服。,إذا لم يظهر اشتراكك خلال بضع دقائق، يرجى الاتصال بالدعم.,"Wenn dein Abonnement nicht innerhalb weniger Minuten angezeigt wird, kontaktiere bitte den Support.","Si tu suscripción no aparece en unos minutos, por favor contacta al soporte.","Si votre abonnement n'apparaît pas dans les quelques minutes, veuillez contacter le support.","Jika langganan Anda tidak muncul dalam beberapa menit, harap hubungi dukungan.","Se il tuo abbonamento non compare entro pochi minuti, contatta l'assistenza.",数分経ってもサブスクリプションが表示されない場合は、サポートにお問い合わせください。,구독이 몇 분 내에 표시되지 않으면 고객 지원에 문의해 주세요.,"Als je abonnement niet binnen een paar minuten verschijnt, neem dan contact op met de ondersteuning.","Jeśli Twoja subskrypcja nie pojawi się w ciągu kilku minut, skontaktuj się z pomocą techniczną.","Se sua assinatura não aparecer em alguns minutos, entre em contato com o suporte.","Если ваша подписка не появится в течение нескольких минут, пожалуйста, обратитесь в службу поддержки.",หากการสมัครสมาชิกของคุณไม่ปรากฏภายในไม่กี่นาที กรุณาติดต่อฝ่ายสนับสนุน,Aboneliğiniz birkaç dakika içinde görünmezse lütfen destek ekibiyle iletişime geçin.,"Nếu gói đăng ký của bạn không xuất hiện trong vài phút, vui lòng liên hệ bộ phận hỗ trợ."
msg.content_tailored,Content Tailored to You,为您量身定制的内容,為您量身定制的內容,محتوى مخصص لك,Auf Sie zugeschnittene Inhalte,Contenido adaptado para ti,Contenu personnalisé pour vous,Konten yang Disesuaikan untuk Anda,Contenuti su misura per te,あなたに合わせたコンテンツ,맞춤형 콘텐츠,Op maat gemaakte inhoud voor jou,Treści dostosowane do Ciebie,Conteúdo personalizado para você,"Контент, подобранный для вас",เนื้อหาที่ปรับแต่งสำหรับคุณ,Size Özel İçerik,Nội dung được điều chỉnh cho bạn
msg.copy_success,Text copied to clipboard,文本已复制到剪贴板,已經複製到剪貼簿囉,تم نسخ النص إلى الحافظة,Text in die Zwischenablage kopiert,Texto copiado al portapapeles,Texte copié dans le presse-papiers,Teks disalin ke clipboard,Testo copiato negli appunti,テキストがクリップボードにコピーされました,텍스트가 클립보드에 복사되었습니다,Tekst gekopieerd naar klembord,Tekst skopiowany do schowka,Texto copiado para a área de transferência,Текст скопирован в буфер обмена,คัดลอกข้อความไปยังคลิปบอร์ดแล้ว,Metin panoya kopyalandı,Đã sao chép văn bản vào bộ nhớ tạm
msg.could_not_open_link,Could not open the link.,无法打开链接。,無法開啟連結。,تعذر فتح الرابط.,Link konnte nicht geöffnet werden.,No se pudo abrir el enlace.,Impossible d'ouvrir le lien.,Tidak dapat membuka tautan.,Impossibile aprire il link.,リンクを開けませんでした。,링크를 열 수 없습니다.,Kon de link niet openen.,Nie można otworzyć linku.,Não foi possível abrir o link.,Не удалось открыть ссылку.,ไม่สามารถเปิดลิงก์ได้,Bağlantı açılamadı.,Không thể mở liên kết.
msg.creating_account,Creating account...,正在创建账户...,正在建立帳戶...,جارٍ إنشاء الحساب...,Konto wird erstellt...,Creando cuenta...,Création du compte...,Membuat akun...,Creazione account...,アカウントを作成中...,계정 생성 중...,Account aanmaken...,Tworzenie konta...,Criando conta...,Создание аккаунта...,กำลังสร้างบัญชี...,Hesap oluşturuluyor...,Đang tạo tài khoản...
msg.days_remaining,"{n} {n, plural, one {day} other {days}} remaining",剩余 {n} 天,剩餘 {n} 天,متبقي {n} أيام,"{n} {n, plural, one {Tag} other {Tage}} verbleibend","{n} {n, plural, one {día} other {días}} restantes","{n} {n, plural, one {jour} other {jours}} restants","{n} {n, plural, other {hari}} tersisa","{n} {n, plural, one {giorno} other {giorni}} rimanenti",残り {n} 日,{n}일 남음,"{n} {n, plural, one {dag} other {dagen}} resterend","{n} {n, plural, one {dzień} few {dni} other {dni}} pozostało","{n} {n, plural, one {dia} other {dias}} restantes","{n} {n, plural, one {день} few {дня} other {дней}} осталось",เหลืออีก {n} วัน,"{n} {n, plural, one {gün} other {gün}} kaldı",Còn {n} ngày
msg.default_value,{n} (default),{n}（默认）,{n}（預設）,{n} (افتراضي),{n} (Standard),{n} (predeterminado),{n} (par défaut),{n} (bawaan),{n} (predefinito),{n}（デフォルト）,{n} (기본값),{n} (standaard),{n} (domyślnie),{n} (padrão),{n} (по умолчанию),{n} (ค่าเริ่มต้น),{n} (varsayılan),{n} (mặc định)
msg.delete_account_cancel_subscription_first,Cancel your active subscription before you can delete your account.,取消您的有效订阅后才能删除账户。,請先取消您的有效訂閱，才能刪除帳戶。,ألغِ اشتراكك النشط قبل أن تتمكن من حذف حسابك.,"Kündige dein aktives Abonnement, bevor du dein Konto löschen kannst.",Cancela tu suscripción activa antes de poder eliminar tu cuenta.,Annulez votre abonnement actif avant de pouvoir supprimer votre compte.,Batalkan langganan aktif Anda sebelum dapat menghapus akun.,Annulla il tuo abbonamento attivo prima di poter eliminare l'account.,アカウントを削除する前に、有効なサブスクリプションを解約してください。,계정을 삭제하려면 먼저 활성 구독을 취소하세요.,Annuleer je actieve abonnement voordat je je account kunt verwijderen.,"Anuluj aktywne subskrypcje, zanim będziesz mógł usunąć konto.",Cancele sua assinatura ativa antes de poder excluir sua conta.,"Отмените активную подписку, прежде чем сможете удалить аккаунт.",ยกเลิกการสมัครสมาชิกที่ใช้งานอยู่ก่อนที่จะลบบัญชีของคุณ,Hesabınızı silmeden önce aktif aboneliğinizi iptal edin.,Hãy hủy đăng ký đang hoạt động trước khi xóa tài khoản của bạn.
msg.delete_account_confirm,"Are you sure you want to delete your account? This action cannot be undone. All your saved words, progress, and data will be permanently removed.",您确定要删除账户吗？此操作无法撤销。所有收藏的单词、进度和数据将被永久删除。,您確定要刪除帳戶嗎？此操作無法復原。所有已儲存的單字、進度和資料將被永久移除。,هل أنت متأكد أنك تريد حذف حسابك؟ لا يمكن التراجع عن هذا الإجراء. سيتم حذف جميع كلماتك المحفوظة وتقدمك وبياناتك بشكل دائم.,"Sind Sie sicher, dass Sie Ihr Konto löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden. Alle Ihre gespeicherten Wörter, Fortschritte und Daten werden dauerhaft entfernt.","¿Estás seguro de que quieres eliminar tu cuenta? Esta acción no se puede deshacer. Todas tus palabras guardadas, progreso y datos se eliminarán permanentemente.","Êtes-vous sûr de vouloir supprimer votre compte ? Cette action est irréversible. Tous vos mots sauvegardés, votre progression et vos données seront définitivement supprimés.","Apakah Anda yakin ingin menghapus akun Anda? Tindakan ini tidak dapat dibatalkan. Semua kata, kemajuan, dan data yang tersimpan akan dihapus secara permanen.","Sei sicuro di voler eliminare il tuo account? Questa azione non può essere annullata. Tutte le parole salvate, i progressi e i dati verranno rimossi definitivamente.",アカウントを削除してもよろしいですか？この操作は元に戻せません。保存された単語、進捗状況、データはすべて完全に削除されます。,"계정을 삭제하시겠습니까? 이 작업은 취소할 수 없습니다. 저장된 모든 단어, 진행 상황 및 데이터가 영구적으로 제거됩니다.","Weet u zeker dat u uw account wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt. Al uw opgeslagen woorden, voortgang en gegevens worden permanent verwijderd.","Czy na pewno chcesz usunąć swoje konto? Tej czynności nie można cofnąć. Wszystkie zapisane słowa, postępy i dane zostaną trwale usunięte.","Tem certeza de que deseja excluir sua conta? Esta ação não pode ser desfeita. Todas as suas palavras salvas, progresso e dados serão permanentemente removidos.","Вы уверены, что хотите удалить аккаунт? Это действие нельзя отменить. Все сохраненные слова, прогресс и данные будут безвозвратно удалены.",คุณแน่ใจหรือไม่ว่าต้องการลบบัญชีของคุณ? การดำเนินการนี้ไม่สามารถยกเลิกได้ คำศัพท์ที่บันทึกไว้ ความก้าวหน้า และข้อมูลทั้งหมดของคุณจะถูกลบอย่างถาวร,"Hesabınızı silmek istediğinizden emin misiniz? Bu işlem geri alınamaz. Kaydedilen tüm kelimeleriniz, ilerlemeniz ve verileriniz kalıcı olarak silinecektir.","Bạn có chắc chắn muốn xóa tài khoản của mình? Hành động này không thể hoàn tác. Tất cả các từ đã lưu, tiến trình và dữ liệu của bạn sẽ bị xóa vĩnh viễn."
msg.delete_account_error,Could not delete your account. Please try again.,无法删除您的账户。请重试。,無法刪除您的帳戶。請重試。,تعذر حذف حسابك. يرجى المحاولة مرة أخرى.,Ihr Konto konnte nicht gelöscht werden. Bitte versuchen Sie es erneut.,No se pudo eliminar tu cuenta. Inténtalo de nuevo.,Impossible de supprimer votre compte. Veuillez réessayer.,Tidak dapat menghapus akun Anda. Silakan coba lagi.,Impossibile eliminare il tuo account. Riprova.,アカウントを削除できませんでした。もう一度お試しください。,계정을 삭제할 수 없습니다. 다시 시도해 주세요.,Kan je account niet verwijderen. Probeer het opnieuw.,Nie udało się usunąć konta. Spróbuj ponownie.,Não foi possível excluir sua conta. Tente novamente.,Не удалось удалить аккаунт. Попробуйте ещё раз.,ไม่สามารถลบบัญชีของคุณได้ โปรดลองอีกครั้ง,Hesabınız silinemedi. Lütfen tekrar deneyin.,Không thể xóa tài khoản của bạn. Vui lòng thử lại.
msg.delete_account_irreversible,This is permanent and cannot be undone.,这是永久操作，无法撤销。,這是永久性操作，無法復原。,هذا دائم ولا يمكن التراجع عنه.,Dies ist dauerhaft und kann nicht rückgängig gemacht werden.,Esto es permanente y no se puede deshacer.,Cette action est définitive et irréversible.,Ini permanen dan tidak dapat dibatalkan.,Questa azione è permanente e non può essere annullata.,この操作は永続的で、元に戻すことはできません。,이 작업은 영구적이며 취소할 수 없습니다.,Dit is permanent en kan niet ongedaan worden gemaakt.,Ta operacja jest trwała i nie można jej cofnąć.,Isso é permanente e não pode ser desfeito.,Это действие необратимо.,การดำเนินการนี้ถาวรและไม่สามารถยกเลิกได้,Bu işlem kalıcıdır ve geri alınamaz.,Thao tác này là vĩnh viễn và không thể hoàn tác.
msg.delete_account_permanent_warning,"This will permanently delete your account and all of your data, including saved words, playlists, watch history, liked videos, progress, and subscription information.",这将永久删除您的账户和所有数据，包括保存的单词、播放列表、观看历史、喜欢的视频、进度和订阅信息。,這將永久刪除您的帳戶和所有資料，包括已儲存的單字、播放清單、觀看紀錄、喜歡的影片、進度和訂閱資訊。,سيؤدي هذا إلى حذف حسابك وجميع بياناتك نهائيًا، بما في ذلك الكلمات المحفوظة وقوائم التشغيل وسجل المشاهدة والفيديوهات المعجب بها والتقدم ومعلومات الاشتراك.,"Dadurch werden Ihr Konto und alle Ihre Daten dauerhaft gelöscht, einschließlich gespeicherter Wörter, Wiedergabelisten, Wiedergabeverlauf, gefällt-mir-Videos, Fortschritt und Abonnementinformationen.","Esto eliminará permanentemente tu cuenta y todos tus datos, incluidas palabras guardadas, listas de reproducción, historial de visualización, videos que te gustan, progreso e información de suscripción.","Cela supprimera définitivement votre compte et toutes vos données, y compris les mots enregistrés, les listes de lecture, l'historique de visionnage, les vidéos aimées, la progression et les informations d'abonnement.","Ini akan menghapus akun Anda dan semua data Anda secara permanen, termasuk kata yang disimpan, daftar putar, riwayat tontonan, video yang disukai, progres, dan informasi langganan.","Questo eliminerà definitivamente il tuo account e tutti i tuoi dati, incluse parole salvate, playlist, cronologia di visione, video piaciuti, progressi e informazioni sull'abbonamento.",これにより、保存した単語、プレイリスト、視聴履歴、いいねした動画、進捗状況、サブスクリプション情報を含む、アカウントとすべてのデータが完全に削除されます。,"이 작업은 저장된 단어, 재생 목록, 시청 기록, 좋아요한 동영상, 진행 상황 및 구독 정보를 포함한 계정과 모든 데이터를 영구적으로 삭제합니다.","Hiermee worden je account en al je gegevens permanent verwijderd, inclusief opgeslagen woorden, afspeellijsten, kijkgeschiedenis, video's die je leuk vindt, voortgang en abonnementsgegevens.","Spowoduje to trwałe usunięcie Twojego konta i wszystkich danych, w tym zapisanych słów, list odtwarzania, historii oglądania, polubionych filmów, postępów i informacji o subskrypcji.","Isso excluirá permanentemente sua conta e todos os seus dados, incluindo palavras salvas, listas de reprodução, histórico de exibição, vídeos curtidos, progresso e informações de assinatura.","Это навсегда удалит ваш аккаунт и все данные, включая сохранённые слова, плейлисты, историю просмотров, понравившиеся видео, прогресс и информацию о подписке.",การดำเนินการนี้จะลบบัญชีและข้อมูลทั้งหมดของคุณอย่างถาวร รวมถึงคำศัพท์ที่บันทึกไว้ เพลย์ลิสต์ ประวัติการรับชม วิดีโอที่ถูกใจ ความก้าวหน้า และข้อมูลการสมัครสมาชิก,"Bu işlem, kayıtlı kelimeler, çalma listeleri, izleme geçmişi, beğenilen videolar, ilerleme ve abonelik bilgileri dahil hesabınızı ve tüm verilerinizi kalıcı olarak siler.","Thao tác này sẽ xóa vĩnh viễn tài khoản và toàn bộ dữ liệu của bạn, bao gồm từ đã lưu, danh sách phát, lịch sử xem, video đã thích, tiến trình và thông tin đăng ký."
msg.delete_account_type_to_confirm,Type DELETE to confirm.,输入 DELETE 以确认。,輸入 DELETE 以確認。,اكتب DELETE للتأكيد.,"Gib DELETE ein, um zu bestätigen.",Escribe DELETE para confirmar.,Saisissez DELETE pour confirmer.,Ketik DELETE untuk mengonfirmasi.,Digita DELETE per confermare.,確認のため DELETE と入力してください。,확인하려면 DELETE를 입력하세요.,Typ DELETE om te bevestigen.,"Wpisz DELETE, aby potwierdzić.",Digite DELETE para confirmar.,Введите DELETE для подтверждения.,พิมพ์ DELETE เพื่อยืนยัน,Onaylamak için DELETE yazın.,Nhập DELETE để xác nhận.
